timestamp,service,environment,status_code,response_time,user_id,endpoint,request_size,response_size,language
2025-03-22T09:01:52.019013,user-service,on-prem,200,100.27,user_772,/users,3536,256,golang
2025-03-04T09:01:44.428694,user-service,azure-cloud,201,148.05,user_201,/users,3334,2930,golang
2025-03-11T09:01:49.508631,payment-service,azure-cloud,403,154.19,user_658,/payments/{id},902,1320,nodejs
2025-03-31T09:01:50.738039,user-service,gcp-cloud,201,90.68,user_63,/users,2970,2214,golang
2025-03-08T09:01:51.264921,auth-service,aws-cloud,201,105.2,user_475,/auth/token,1671,2982,nodejs
2025-03-10T09:01:45.986934,inventory-service,gcp-cloud,200,120.96,user_375,/products,1266,131,java
2025-03-14T09:01:46.259559,inventory-service,on-prem,201,95.57,user_221,/inventory,472,367,java
2025-03-12T09:01:51.530233,user-service,gcp-cloud,201,114.0,user_956,/users,4230,1571,java
2025-03-09T09:01:45.889372,auth-service,gcp-cloud,201,108.6,user_56,/auth/register,4337,1727,nodejs
2025-03-26T09:01:49.063108,user-service,on-prem,201,89.4,user_622,/users/search,3354,2937,golang
2025-03-17T09:01:49.418494,user-service,on-prem,200,66.19,user_819,/users,1616,654,java
2025-03-22T09:01:43.659046,auth-service,gcp-cloud,200,120.95,user_808,/auth/login,4781,291,golang
2025-03-08T09:01:52.385622,user-service,gcp-cloud,201,94.46,user_141,/users,4208,1869,java
2025-03-11T09:01:48.253863,payment-service,azure-cloud,201,113.81,user_490,/payments/{id},1223,1509,nodejs
2025-03-13T09:01:48.105940,inventory-service,gcp-cloud,201,87.69,user_109,/products,2464,2828,java
2025-03-30T09:01:52.323735,inventory-service,aws-cloud,200,123.08,user_364,/products,3779,2815,nodejs
2025-03-26T09:01:47.520873,payment-service,gcp-cloud,201,89.79,user_198,/payments,4982,1303,golang
2025-03-25T09:01:43.834634,auth-service,azure-cloud,200,135.31,user_440,/auth/token,783,1201,golang
2025-03-20T09:01:52.395353,payment-service,aws-cloud,200,127.65,user_631,/payments/verify,4479,377,golang
2025-03-28T09:01:43.491887,user-service,on-prem,200,51.45,user_693,/users,170,961,nodejs
2025-03-20T09:01:43.362533,user-service,on-prem,200,65.16,user_528,/users,3614,2678,golang
2025-03-12T09:01:51.402765,payment-service,gcp-cloud,201,69.13,user_328,/payments/verify,4175,1644,java
2025-03-14T09:01:46.320827,inventory-service,azure-cloud,200,149.43,user_208,/inventory,4959,200,nodejs
2025-03-23T09:01:50.500133,user-service,on-prem,200,86.03,user_166,/users/search,2096,2108,nodejs
2025-03-15T09:01:48.789223,auth-service,aws-cloud,200,108.05,user_465,/auth/token,3177,728,nodejs
2025-03-14T09:01:43.477231,auth-service,gcp-cloud,200,81.69,user_455,/auth/login,3954,2143,golang
2025-03-04T09:01:51.711153,inventory-service,azure-cloud,200,128.77,user_740,/inventory,3557,271,java
2025-03-20T09:01:46.244716,inventory-service,aws-cloud,201,121.82,user_484,/products/{id},733,2098,nodejs
2025-03-16T09:01:44.349043,auth-service,gcp-cloud,200,118.59,user_912,/auth/login,3213,1293,java
2025-03-27T09:01:45.878302,auth-service,gcp-cloud,500,183.85,user_232,/auth/register,1301,1456,java
2025-03-23T09:01:50.741024,inventory-service,azure-cloud,200,121.38,user_849,/products/{id},1886,795,golang
2025-03-04T09:01:51.700182,user-service,azure-cloud,201,148.71,user_572,/users,3131,2420,java
2025-03-17T09:01:50.971002,user-service,gcp-cloud,201,119.03,user_361,/users/search,2042,2924,python
2025-03-19T09:01:51.635767,auth-service,on-prem,201,109.43,user_712,/auth/token,1232,225,java
2025-03-12T09:01:43.989558,auth-service,gcp-cloud,200,152.1,user_831,/auth/login,1259,774,nodejs
2025-03-25T09:01:50.806968,user-service,aws-cloud,201,88.74,user_122,/users,505,125,golang
2025-03-19T09:01:49.741425,user-service,on-prem,500,36.52,user_438,/users/{id},2451,2391,golang
2025-03-31T09:01:51.840201,user-service,azure-cloud,201,141.07,user_516,/users,958,1631,java
2025-03-03T09:01:44.487703,user-service,azure-cloud,200,153.48,user_648,/users,325,67,nodejs
2025-03-26T09:01:47.725342,payment-service,gcp-cloud,200,107.51,user_243,/payments,4892,2022,java
2025-03-26T09:01:48.221418,auth-service,azure-cloud,201,169.85,user_721,/auth/login,4149,1396,golang
2025-03-16T09:01:52.179385,inventory-service,gcp-cloud,200,93.94,user_300,/products/{id},3389,851,java
2025-03-18T09:01:44.425609,user-service,gcp-cloud,201,96.25,user_838,/users/search,4082,485,nodejs
2025-03-11T09:01:50.174419,user-service,aws-cloud,200,103.9,user_431,/users/search,2687,1762,java
2025-03-22T09:01:44.895703,payment-service,on-prem,200,103.83,user_704,/payments,4662,88,nodejs
2025-03-06T09:01:49.027377,payment-service,gcp-cloud,201,74.71,user_658,/payments/verify,519,1891,python
2025-03-30T09:01:50.490261,inventory-service,on-prem,201,87.04,user_181,/inventory,1834,950,python
2025-03-23T09:01:48.504282,payment-service,azure-cloud,201,148.93,user_93,/payments,3127,107,java
2025-03-20T09:01:43.647732,user-service,azure-cloud,201,82.77,user_894,/users,2192,72,nodejs
2025-03-23T09:01:44.729363,inventory-service,gcp-cloud,200,119.96,user_614,/inventory,4216,218,java
2025-03-03T09:01:49.017515,auth-service,aws-cloud,200,108.68,user_98,/auth/login,955,1183,nodejs
2025-03-09T09:01:43.188587,user-service,on-prem,200,94.54,user_348,/users/{id},4005,2459,java
2025-03-20T09:01:45.573110,auth-service,aws-cloud,200,120.94,user_819,/auth/login,2553,2053,nodejs
2025-03-26T09:01:47.359473,auth-service,aws-cloud,201,167.71,user_206,/auth/login,697,1776,golang
2025-03-18T09:01:52.137980,auth-service,gcp-cloud,201,99.76,user_344,/auth/register,1863,489,nodejs
2025-03-02T09:01:45.155424,user-service,aws-cloud,201,118.26,user_0,/users/{id},1808,2311,golang
